Skill,Length,UpPercent,Slope,1,2,3,4
Good,3,-10,Low,82,120,155,200
Good,3,-10,Medium,78,115,148,214
Good,3,-10,High,75,110,142,205
Good,3,-5,Low,86,126,162,235
Good,3,-5,Medium,83,121,156,226
Good,3,-5,High,80,116,150,217
Good,3,-2,Low,90,133,171,247
Good,3,-2,Medium,86,128,164,237
Good,3,-2,High,83,123,157,228
Good,3,0,Low,95,140,180,260
Good,3,0,Medium,91,134,173,250
Good,3,0,High,87,129,166,240
Good,3,2,Low,98,144,185,268
Good,3,2,Medium,94,138,178,257
Good,3,2,High,90,132,171,247
Good,3,5,Low,101,148,191,276
Good,3,5,Medium,97,142,183,265
Good,3,5,High,93,136,176,254
Good,3,10,Low,104,152,197,284
Good,3,10,Medium,100,146,189,273
Good,3,10,High,96,140,181,262
Good,4,-10,Low,76,103,129,172
Good,4,-10,Medium,73,99,124,165
Good,4,-10,High,70,95,119,158
Good,4,-5,Low,80,108,136,181
Good,4,-5,Medium,77,104,131,174
Good,4,-5,High,74,100,126,167
Good,4,-2,Low,84,114,143,190
Good,4,-2,Medium,81,109,137,182
Good,4,-2,High,78,105,132,175
Good,4,0,Low,88,120,150,200
Good,4,0,Medium,84,115,144,192
Good,4,0,High,81,110,138,184
Good,4,2,Low,91,124,155,206
Good,4,2,Medium,87,119,149,198
Good,4,2,High,84,114,143,190
Good,4,5,Low,94,128,160,212
Good,4,5,Medium,90,123,154,204
Good,4,5,High,86,118,148,196
Good,4,10,Low,97,132,165,218
Good,4,10,Medium,93,127,158,209
Good,4,10,High,89,122,152,201
Good,5,-10,Low,67,103,129,172
Good,5,-10,Medium,64,99,124,165
Good,5,-10,High,61,95,119,158
Good,5,-5,Low,70,108,136,181
Good,5,-5,Medium,67,104,131,174
Good,5,-5,High,64,100,126,167
Good,5,-2,Low,74,114,143,190
Good,5,-2,Medium,71,109,137,182
Good,5,-2,High,68,105,132,175
Good,5,0,Low,78,120,150,200
Good,5,0,Medium,75,115,144,192
Good,5,0,High,72,110,138,184
Good,5,2,Low,80,124,155,206
Good,5,2,Medium,77,119,149,198
Good,5,2,High,74,114,143,190
Good,5,5,Low,82,128,160,212
Good,5,5,Medium,79,123,154,204
Good,5,5,High,76,118,148,196
Good,5,10,Low,84,132,165,218
Good,5,10,Medium,81,127,158,209
Good,5,10,High,78,122,152,201
Good,6,-10,Low,57,116,129,172
Good,6,-10,Medium,55,111,124,165
Good,6,-10,High,53,107,119,158
Good,6,-5,Low,60,122,136,181
Good,6,-5,Medium,58,117,131,174
Good,6,-5,High,56,112,126,167
Good,6,-2,Low,63,128,143,190
Good,6,-2,Medium,60,123,137,182
Good,6,-2,High,58,118,132,175
Good,6,0,Low,66,135,150,200
Good,6,0,Medium,63,130,144,192
Good,6,0,High,60,125,138,184
Good,6,2,Low,68,139,155,206
Good,6,2,Medium,65,133,149,198
Good,6,2,High,62,128,143,190
Good,6,5,Low,70,143,160,212
Good,6,5,Medium,67,137,154,204
Good,6,5,High,64,132,148,196
Good,6,10,Low,72,147,165,218
Good,6,10,Medium,69,141,158,209
Good,6,10,High,66,135,152,201
Good,7,-10,Low,50,101,129,172
Good,7,-10,Medium,48,97,124,165
Good,7,-10,High,46,93,119,158
Good,7,-5,Low,53,106,136,181
Good,7,-5,Medium,51,102,131,174
Good,7,-5,High,49,98,126,167
Good,7,-2,Low,56,112,143,190
Good,7,-2,Medium,54,108,137,182
Good,7,-2,High,52,104,132,175
Good,7,0,Low,59,118,150,200
Good,7,0,Medium,57,113,144,192
Good,7,0,High,55,108,138,184
Good,7,2,Low,61,122,155,206
Good,7,2,Medium,59,117,149,198
Good,7,2,High,57,112,143,190
Good,7,5,Low,63,126,160,212
Good,7,5,Medium,60,121,154,204
Good,7,5,High,58,116,148,196
Good,7,10,Low,65,130,165,218
Good,7,10,Medium,62,125,158,209
Good,7,10,High,60,120,152,201
Good,8,-10,Low,44,101,129,172
Good,8,-10,Medium,42,97,124,165
Good,8,-10,High,40,93,119,158
Good,8,-5,Low,46,106,136,181
Good,8,-5,Medium,44,102,131,174
Good,8,-5,High,42,98,126,167
Good,8,-2,Low,48,112,143,190
Good,8,-2,Medium,46,108,137,182
Good,8,-2,High,44,104,132,175
Good,8,0,Low,51,118,150,200
Good,8,0,Medium,49,113,144,192
Good,8,0,High,47,108,138,184
Good,8,2,Low,53,122,155,206
Good,8,2,Medium,51,117,149,198
Good,8,2,High,49,112,143,190
Good,8,5,Low,55,126,160,212
Good,8,5,Medium,53,121,154,204
Good,8,5,High,51,116,148,196
Good,8,10,Low,57,130,165,218
Good,8,10,Medium,55,125,158,209
Good,8,10,High,53,120,152,201
Good,9,-10,Low,44,101,129,172
Good,9,-10,Medium,42,97,124,165
Good,9,-10,High,40,93,119,158
Good,9,-5,Low,46,106,136,181
Good,9,-5,Medium,44,102,131,174
Good,9,-5,High,42,98,126,167
Good,9,-2,Low,48,112,143,190
Good,9,-2,Medium,46,108,137,182
Good,9,-2,High,44,104,132,175
Good,9,0,Low,51,118,150,200
Good,9,0,Medium,49,113,144,192
Good,9,0,High,47,108,138,184
Good,9,2,Low,53,122,155,206
Good,9,2,Medium,51,117,149,198
Good,9,2,High,49,112,143,190
Good,9,5,Low,55,126,160,212
Good,9,5,Medium,53,121,154,204
Good,9,5,High,51,116,148,196
Good,9,10,Low,57,130,165,218
Good,9,10,Medium,55,125,158,209
Good,9,10,High,53,120,152,201
Good,10,-10,Low,35,99,129,172
Good,10,-10,Medium,34,95,124,165
Good,10,-10,High,33,91,119,158
Good,10,-5,Low,37,104,136,181
Good,10,-5,Medium,36,100,131,174
Good,10,-5,High,35,96,126,167
Good,10,-2,Low,39,109,143,190
Good,10,-2,Medium,37,105,137,182
Good,10,-2,High,36,101,132,175
Good,10,0,Low,41,115,150,200
Good,10,0,Medium,39,110,144,192
Good,10,0,High,37,106,138,184
Good,10,2,Low,42,118,155,206
Good,10,2,Medium,40,113,149,198
Good,10,2,High,38,108,143,190
Good,10,5,Low,43,122,160,212
Good,10,5,Medium,41,117,154,204
Good,10,5,High,39,112,148,196
